ID,CITY,STATE,INSTALL DATE
AXN,ALEXANDRIA,MN,10/27/2005
BDE,BAUDETTE,MN,9/12/2006
BRD,BRAINERD,MN,10/27/2005
DLH,DULUTH,MN,7/25/2007
FCM,MINNEAPOLIS,MN,4/25/2007
GNA,GRAND MARIS,MN,6/8/2007
HIB,HIBBING,MN,10/20/2005
INL,INTERNATIONAL FALLS,MN,9/7/2006
MIC,MINNEAPOLIS,MN,4/18/2007
MSP,MINNEAPOLIS,MN,9/13/2006
PKD,PARK RAPIDS,MN,4/18/2007
RST,ROCHESTER,MN,5/30/2007
RWF,REDWOOD FALLS,MN,10/20/2005
STC,ST CLOUD,MN,7/3/2006
STP,ST. PAUL,MN,9/12/2006
CDJ,CHILLICOTHE,MO,4/23/2007
CGI,CAPE GIRARDEAU,MO,12/16/2005
COU,COLUMBIA,MO,6/20/2007
DMO,SEDALIA,MO,8/14/2006
IRK,KIRKSVILLE,MO,10/7/2005
JEF,JEFFERSON CITY,MO,7/11/2007
JLN,JOPLIN,MO,9/27/2006
LXT,LEES SUMMIT,MO,4/18/2005
MCI,KANSAS CITY,MO,9/19/2006
MKC,KANSAS CITY,MO,9/13/2006
POF,POPLAR BLUFF,MO,12/16/2005
SET,ST CHARLES,MO,10/27/2005
SGF,SPRINGFIELD,MO,9/20/2006
STJ,SAINT JOSEPH,MO,3/5/2007
STL,ST LOUIS,MO,9/26/2006
SUS,ST LOUIS,MO,4/30/2007
UNO,WEST PLAINS,MO,10/13/2005
VIH,VICHY,MO,1/24/2007
GLH,GREENVILLE,MS,1/30/2007
GPT,GULFPORT,MS,3/6/2007
GWO,GREENWOOD,MS,3/6/2007
HBG,HATTIESBURG,MS,2/27/2007
HKS,JACKSON,MS,2/28/2007
JAN,JACKSON,MS,5/22/2007
MCB,MCCOMB,MS,4/16/2007
MEI,MERIDIAN,MS,6/6/2007
PQL,PASCAGOULA,MS,3/26/2007
TUP,TUPELO,MS,9/17/2008
BHK,BAKER,MT,10/27/2005
BIL,BILLINGS,MT,9/5/2006
BTM,BUTTE,MT,2/13/2006
BZN,BELGRADE,MT,4/25/2007
CTB,CUT BANK,MT,2/3/2006
